"* Required Fields","* Champs obligatoires"
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a bien été ajouté à votre liste d'envies. Cliquez <a href=""%2$s"">ici</a> pour poursuivre vos achats"
"%s's Wishlist","Liste d'envies de %s"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Added On","Ajouté le"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr de vouloir enlever ce produit de votre liste d\'envies ?"
"Are You sure?","Êtes-vous sûr ?"
"Back","Retour"
"Can\'t save description %s","Impossible de sauvegarder la description %s"
"Cannot create wishlist","Impossible de créer la liste d'envies"
"Cannot specify product","Impossible de spécifier le produit"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies"
"Comment","Commentaire"
"Email address can\'t be empty.","L\'adresse mail ne peut pas être vide."
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste d'envies"
"Last Added Items","Derniers articles ajoutés"
"Message","Message"
"My Wishlist","Ma liste d'envies"
"My Wishlist (%d item)","Ma liste d'envies (%d article)"
"My Wishlist (%d items)","Ma liste d'envies (%d articles)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Veuillez saisir une liste d\'adresses email valide, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Veuillez saisir vos commentaires..."
"Product","Produit"
"Remove Item","Retirer l'article"
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Lien RSS vers la liste d'envies de %s"
"Share options","Options de partage"
"Share Wishlist","Partager la liste d'envies"
"Share Your Wishlist","Partagez votre liste d'envies"
"Sharing Information","Information de partage"
"There was an error while adding item to wishlist: %s","Erreur lors de l'ajout d'un article dans la liste d'envies : %s"
"There was an error while adding item to wishlist.","Erreur lors de l'ajout d'un article dans la liste d'envies."
"There was an error while deleting item from wishlist: %s","Erreur lors de la suppression d'un article de la liste d'envies : %s"
"There was an error while deleting item from wishlist.","Erreur lors de la suppression d'un article de la liste d'envies."
"Update Wishlist","Mettre à jour"
"View Product","Voir produit"
"Wishlist","Liste d'envies"
"Wishlist is empty now.","La liste d'envies est vide maintenant."
"Wishlist Sharing","Partage de liste d'envies"
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste d'envies."
"You input not valid email address.","Vous avez saisi une adresse mail non valide."
"Your Wishlist was successfully shared","Votre liste d'envies a été partagée"
