"Product stock alert","Alerte de disponibilité de produit"
"Product price alert","Alerte de prix produit"
"Product Alerts","Alertes du produit"
"Allow alert when product price changes","Autoriser l'alerte quand le prix du produit change"
"Allow alert when product comes back in stock","Autoriser l'alerte quand le produit est de nouveau disponible"
"Click here not to receive alerts for this product","Cliquez ici pour ne plus recevoir d'alerte pour ce produit"
"Product alerts Cron error","Erreur de cron pour les alertes produits"
"Error Email Recipient","Erreur de mail destinataire"
"Alert Email Sender","Expéditeur du mail d'alerte"
"Error Email Sender","Expéditeur du mail d'erreur"
"Frequency","Fréquence"
"Stock alert Email Template","Gabarit du mail d'alerte de disponibilité"
"Price alert Email Template","Gabarit du mail d'alerte de prix"
"Error Email Template","Gabarit du mail d'erreur"
"Start Time","Heure de début"
"Alert subscription was deleted successfully","L'abonnement à l'alerte a bien été effacé"
"Alert subscription was saved successfully","L'abonnement à l'alerte a bien été sauvegardé"
"Product Alerts Run Settings","Paramétrage d'exécution des alertes de produit"
"Not enough parameters","Pas assez de paramètres"
"Price:","Prix :"
"Special price:","Prix promotionnel :"
"Product not found","Produit introuvable"
"Unsubscribe from all stock alerts","Se désabonner de toutes les alertes de disponibilité"
"Unsubscribe from all price alerts","Se désabonner de toutes les alertes de prix"
"Sign up to get notified when this product is back in stock","Soyez alerté de la disponibilité du produit"
"Sign up for price alert","Soyez alerté des changements de prix"
"Please try again later","Veuillez réessayer plus tard"
"You will no longer receive stock alerts for this product","Vous ne recevrez plus d'alerte de disponibilité pour ce produit."
"You will no longer receive stock alerts","Vous ne recevrez plus d'alertes de disponibilité"
"You will no longer receive price alerts for this product","Vous ne recevrez plus d'alertes prix pour ce produit"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont de nouveau disponibles :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vous recevez cette alerte car vous avez demandé à être alerté quand les produits suivants sont modifiés :"
