"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une notation"
"Manage Ratings","Gérer les notations"
"ID","ID"
"Rating Information","Informations de notation"
"Rating isn't Available","Les notations ne sont pas activées"
"Rating Title","Libellé de notation"
"Edit Rating","Modifier la notation"
"Rating Name","Nom de notation"
"Rating with the same title","Note avec le même titre"
"New Rating","Nouvelle notation"
"Option Label","Option"
"Assigned Options","Options attribuées"
"Rating Options","Options de notation"
"Save Rating","Sauvegarder la notation"
"Please select one of each ratings above","Sélectionnez une note pour chaque critère ci-dessus"
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas de titre d'évaluation pour un magasin, la valeur par défaut sera utilisée."
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Delete Rating","Supprimer la notation"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option :"
"Default Value","Valeur par défaut"
"Rating Visibility","Visibilité de classement"
"Visible In","Visible dans"
